CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2008-06-02 22:35:00 ,2008-06-02 22:45:00 ,844,mean
2008-06-02 22:50:00 ,2008-06-02 23:00:00 ,829,mean
2008-06-02 23:05:00 ,2008-06-02 23:15:00 ,711,mean
2008-06-02 23:35:00 ,2008-06-02 23:45:00 ,517.5,mean
2008-06-02 23:50:00 ,2008-06-03 00:00:00 ,472.6,mean
2008-06-03 00:20:00 ,2008-06-03 00:30:00 ,356.5,mean
2008-06-03 00:35:00 ,2008-06-03 00:45:00 ,302.4,mean
2008-06-03 00:50:00 ,2008-06-03 01:00:00 ,255.3,mean
2008-06-03 01:05:00 ,2008-06-03 01:15:00 ,222,mean
2008-06-03 01:35:00 ,2008-06-03 01:45:00 ,135.7,mean
2008-06-03 01:50:00 ,2008-06-03 02:00:00 ,86.3,mean
2008-06-03 02:20:00 ,2008-06-03 02:30:00 ,69.01,mean
2008-06-03 02:35:00 ,2008-06-03 02:45:00 ,63.26,mean
2008-06-03 02:50:00 ,2008-06-03 03:00:00 ,51.76,mean
2008-06-03 03:05:00 ,2008-06-03 03:15:00 ,43.71,mean
2008-06-03 03:35:00 ,2008-06-03 03:45:00 ,34.51,mean
2008-06-03 03:50:00 ,2008-06-03 04:00:00 ,34.51,mean
2008-06-03 04:20:00 ,2008-06-03 04:30:00 ,34.51,mean
2008-06-03 04:35:00 ,2008-06-03 04:45:00 ,34.51,mean
2008-06-03 04:50:00 ,2008-06-03 05:00:00 ,34.51,mean
2008-06-03 05:05:00 ,2008-06-03 05:15:00 ,34.51,mean
2008-06-03 05:20:00 ,2008-06-03 05:30:00 ,34.51,mean
2008-06-03 05:35:00 ,2008-06-03 05:45:00 ,34.51,mean
2008-06-03 05:50:00 ,2008-06-03 06:00:00 ,34.51,mean
2008-06-03 06:20:00 ,2008-06-03 06:30:00 ,34.51,mean
2008-06-03 06:35:00 ,2008-06-03 06:45:00 ,34.51,mean
2008-06-03 06:50:00 ,2008-06-03 07:00:00 ,34.51,mean
2008-06-03 07:05:00 ,2008-06-03 07:15:00 ,34.51,mean
2008-06-03 07:35:00 ,2008-06-03 07:45:00 ,17.26,mean
2008-06-03 07:50:00 ,2008-06-03 08:00:00 ,17.26,mean
2008-06-03 08:20:00 ,2008-06-03 08:30:00 ,17.26,mean
2008-06-03 08:35:00 ,2008-06-03 08:45:00 ,17.26,mean
