CSR_TIMESTAMP_BEGIN,CSR_TIMESTAMP_END,CSR_PAR,CSR_STATISTIC
2006-10-22 22:03:41,2006-10-22 22:13:41,17.482851,mean
2006-10-22 22:15:41,2006-10-22 22:25:41,12.5649108,mean
2006-10-22 22:39:41,2006-10-22 22:49:41,15.2972856,mean
2006-10-22 22:51:41,2006-10-22 23:01:41,12.5649108,mean
2006-10-22 23:03:41,2006-10-22 23:13:41,46.9838034,mean
2006-10-22 23:15:41,2006-10-22 23:25:41,34.4188926,mean
2006-10-22 23:27:41,2006-10-22 23:37:41,10.3810176,mean
2006-10-22 23:39:41,2006-10-22 23:49:41,8.7405894,mean
2006-10-22 23:51:41,2006-10-23 00:01:41,10.3810176,mean
2006-10-23 00:15:41,2006-10-23 00:25:41,6.0098868,mean
2006-10-23 00:27:41,2006-10-23 00:37:41,6.0098868,mean
2006-10-23 00:39:41,2006-10-23 00:49:41,4.916268,mean
2006-10-23 01:03:41,2006-10-23 01:13:41,4.3711308,mean
2006-10-23 01:15:41,2006-10-23 01:25:41,3.8243214,mean
2006-10-23 01:27:41,2006-10-23 01:37:41,3.277512,mean
2006-10-23 01:51:41,2006-10-23 02:01:41,1.638756,mean
2006-10-23 02:15:41,2006-10-23 02:25:41,-1.0919466,mean
2006-10-23 02:39:41,2006-10-23 02:49:41,-0.5468094,mean
2006-10-23 02:51:41,2006-10-23 03:01:41,1.638756,mean
2006-10-23 03:03:41,2006-10-23 03:13:41,-0.5468094,mean
2006-10-23 03:27:41,2006-10-23 03:37:41,-1.0919466,mean
2006-10-23 03:39:41,2006-10-23 03:49:41,-0.5468094,mean
2006-10-23 03:51:41,2006-10-23 04:01:41,0.5468094,mean
2006-10-23 04:03:41,2006-10-23 04:13:41,0,mean
2006-10-23 04:15:41,2006-10-23 04:25:41,-1.638756,mean
2006-10-23 04:27:41,2006-10-23 04:37:41,0,mean
2006-10-23 04:39:41,2006-10-23 04:49:41,0,mean
2006-10-23 05:03:41,2006-10-23 05:13:41,-1.0919466,mean
2006-10-23 05:15:41,2006-10-23 05:25:41,0.5468094,mean
2006-10-23 05:27:41,2006-10-23 05:37:41,-1.0919466,mean
2006-10-23 05:39:41,2006-10-23 05:49:41,0.5468094,mean
2006-10-23 05:51:41,2006-10-23 06:01:41,0.5468094,mean
2006-10-23 06:03:41,2006-10-23 06:13:41,1.0919466,mean
2006-10-23 06:15:41,2006-10-23 06:25:41,0,mean
2006-10-23 06:39:41,2006-10-23 06:49:41,0,mean
2006-10-23 06:51:41,2006-10-23 07:01:41,-0.5468094,mean
2006-10-23 07:03:41,2006-10-23 07:13:41,0,mean
2006-10-23 07:15:41,2006-10-23 07:25:41,-0.5468094,mean
2006-10-23 07:27:41,2006-10-23 07:37:41,-0.5468094,mean
2006-10-23 07:39:41,2006-10-23 07:49:41,-1.0919466,mean
2006-10-23 07:51:41,2006-10-23 08:01:41,2.7307026,mean
2006-10-23 08:15:41,2006-10-23 08:25:41,0.5468094,mean
2006-10-23 08:27:41,2006-10-23 08:37:41,-1.638756,mean
2006-10-23 08:39:41,2006-10-23 08:49:41,0,mean
2006-10-23 08:51:41,2006-10-23 09:01:41,0,mean
2006-10-23 09:03:41,2006-10-23 09:13:41,-0.5468094,mean
2006-10-23 09:15:41,2006-10-23 09:25:41,-2.7307026,mean
2006-10-23 09:27:41,2006-10-23 09:37:41,2.1838932,mean
2006-10-23 09:51:41,2006-10-23 10:01:41,-1.0919466,mean
2006-10-23 10:03:41,2006-10-23 10:13:41,0,mean
2006-10-23 10:15:41,2006-10-23 10:25:41,0,mean
2006-10-23 10:27:41,2006-10-23 10:37:41,-0.5468094,mean
2006-10-23 10:39:41,2006-10-23 10:49:41,-1.0919466,mean
2006-10-23 10:51:41,2006-10-23 11:01:41,0,mean
2006-10-23 11:03:41,2006-10-23 11:13:41,0,mean
